date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-06-04,null,null,0.0,0.861588,447.0,null,
2017-06-05,null,null,0.0,0.734906,8803.0,null,
2017-06-06,null,null,0.0,1.08,14682.0,null,
2017-06-07,null,null,0.0,1.43,1327.0,null,
2017-06-08,null,null,0.0,1.32,9030.0,null,
2017-06-09,null,null,0.0,1.4,1296.0,null,
2017-06-10,null,null,0.0,1.41,16121.0,null,
2017-06-11,null,null,0.0,1.31,6668.0,null,
2017-06-12,null,null,0.0,2.38,32334.0,null,
2017-06-13,null,null,0.0,3.17,2683.0,null,
2017-06-14,null,null,0.0,3.25,14542.0,null,
2017-06-15,null,null,0.0,2.95,6761.0,null,
2017-06-16,null,null,0.0,2.66,3477.0,null,
2017-06-17,null,null,0.0,2.87,10943.0,null,
2017-06-18,null,null,0.0,3.05,10519.0,null,
2017-06-19,null,null,0.0,3.73,17956.0,null,
2017-06-20,null,null,0.0,2.39,5647.0,null,
2017-06-21,null,null,0.0,2.25,2069.0,null,
2017-06-22,null,null,0.0,2.44,4015.0,null,
2017-06-23,null,null,0.0,2.1,3039.0,null,
2017-06-24,null,null,0.0,1.91,3231.0,null,
2017-06-25,null,null,0.0,1.85,3008.0,null,
2017-06-26,null,null,0.0,1.85,11518.0,null,
2017-06-27,null,null,0.0,0.974421,22946.0,null,
2017-06-28,null,null,0.0,1.55,10351.0,null,
2017-06-29,null,null,0.0,0.459457,88074.0,null,
2017-06-30,null,null,0.0,0.582385,24431.0,null,
2017-07-01,null,null,0.0,0.76005,24158.0,null,
2017-07-02,null,null,0.0,0.503066,9068.0,null,
2017-07-03,null,null,0.0,0.81655,11545.0,null,
2017-07-04,null,null,0.0,0.923298,16586.0,null,
2017-07-05,null,null,0.0,0.660474,28112.0,null,
2017-07-06,null,null,0.0,0.766931,13035.0,null,
2017-07-07,null,null,0.0,0.662619,11107.0,null,
2017-07-08,null,null,0.0,0.505332,4088.0,null,
2017-07-09,null,null,0.0,0.581255,4281.0,null,
2017-07-10,null,null,0.0,0.541126,3428.0,null,
2017-07-11,null,null,0.0,0.507854,3379.0,null,
2017-07-12,null,null,0.0,0.505268,7132.0,null,
2017-07-13,null,null,0.0,0.520207,8671.0,null,
2017-07-14,null,null,0.0,0.325402,3551.0,null,
2017-07-15,null,null,0.0,0.332789,441.0,null,
2017-07-16,null,null,0.0,0.37321,1015.0,null,
2017-07-17,null,null,0.0,0.373047,2630.0,null,
2017-07-18,null,null,0.0,0.455689,5561.0,null,
2017-07-19,null,null,0.0,0.531925,2046.0,null,
2017-07-20,null,null,0.0,0.484871,3820.0,null,
2017-07-21,null,null,0.0,0.569216,2469.0,null,
2017-07-22,null,null,0.0,0.533454,322.0,null,
2017-07-23,null,null,0.0,0.566092,760.0,null,
2017-07-24,null,null,0.0,0.624371,10563.0,null,
2017-07-25,null,null,0.0,0.405443,15174.0,null,
2017-07-26,null,null,0.0,0.345636,9415.0,null,
2017-07-27,null,null,0.0,0.305502,12578.0,null,
2017-07-28,null,null,0.0,0.308679,8731.0,null,
2017-07-29,null,null,0.0,0.305952,4928.0,null,
2017-07-30,null,null,0.0,0.366891,2216.0,null,
2017-07-31,null,null,0.0,0.369978,4867.0,null,
2017-08-01,null,null,0.0,0.349201,659.0,null,
2017-08-02,null,null,0.0,0.335707,7876.0,null,
2017-08-03,null,null,0.0,0.356926,5157.0,null,
2017-08-04,null,null,0.0,0.381819,7516.0,null,
2017-08-05,null,null,0.0,0.399642,4230.0,null,
2017-08-06,null,null,0.0,0.553367,12868.0,null,
2017-08-07,null,null,0.0,0.483022,11119.0,null,
2017-08-08,null,null,0.0,0.563025,6898.0,null,
2017-08-09,null,null,0.0,0.581186,9484.0,null,
2017-08-10,null,null,0.0,0.678626,24876.0,null,
2017-08-11,null,null,0.0,1.02,36974.0,null,
2017-08-12,null,null,0.0,0.857831,49268.0,null,
2017-08-13,null,null,0.0,1.25,50152.0,null,
2017-08-14,null,null,0.0,1.18,37161.0,null,
2017-08-15,null,null,0.0,1.17,45550.0,null,
2017-08-16,null,null,0.0,1.07,18485.0,null,
2017-08-17,null,null,0.0,1.3,61277.0,null,
2017-08-18,null,null,0.0,1.09,172621.0,null,
