date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-05-21,1983215.43991,339,48804400.0,1.45,1152680.0,304,
2017-05-22,1498546.34306,370,47058300.0,1.4,1358470.0,318,
2017-05-23,1797915.13999,394,49452000.0,1.47,2436560.0,348,
2017-05-24,2184012.38936,651,70258300.0,2.09,3619740.0,585,
2017-05-25,1290815.03703,369,87800600.0,2.61,1535420.0,350,
2017-05-26,1282960.24303,379,70263400.0,2.09,1150820.0,333,
2017-05-27,607782.691593,234,66361800.0,1.97,713711.0,213,
2017-05-28,405565.201019,259,58319800.0,1.74,801602.0,213,
2017-05-29,328725.829433,258,55013700.0,1.64,653050.0,239,
2017-05-30,1095753.68955,391,61396000.0,1.83,1345200.0,334,
2017-05-31,1001656.78944,294,61958200.0,1.84,1365970.0,291,
2017-06-01,1310085.50309,203,70176300.0,2.09,630982.0,204,
2017-06-02,594122.476057,229,70199800.0,2.09,759428.0,209,
2017-06-03,720978.171679,251,72258500.0,2.15,963743.0,237,
2017-06-04,789935.363136,332,74328900.0,2.21,1065030.0,271,
2017-06-05,550790.750398,205,70708300.0,2.1,973493.0,216,
2017-06-06,922911.217519,336,75156300.0,2.24,1266720.0,282,
2017-06-07,998072.125655,436,80797600.0,2.4,1762630.0,322,
2017-06-08,1521914.26955,600,85550000.0,2.55,3743020.0,447,
2017-06-09,1500862.75564,482,106179000.0,3.16,1877340.0,428,
2017-06-10,619850.151885,374,111077000.0,3.31,2275360.0,329,
2017-06-11,1997490.62777,452,135820000.0,4.04,3049210.0,422,
2017-06-12,1169877.22085,442,138074000.0,4.11,2292920.0,403,
2017-06-13,1233783.80801,315,125203000.0,3.73,1369980.0,291,
2017-06-14,1767965.56484,315,130939000.0,3.9,1610150.0,324,
2017-06-15,575289.938545,269,106250000.0,3.16,1173940.0,259,
2017-06-16,694672.000535,270,135225000.0,4.02,787317.0,251,
2017-06-17,426050.995882,282,108309000.0,3.22,766546.0,236,
2017-06-18,699104.594595,269,104969000.0,3.12,929574.0,227,
2017-06-19,527538.878244,213,96442800.0,2.87,1110070.0,237,
2017-06-20,421466.476076,191,94939300.0,2.83,938596.0,202,
2017-06-21,334517.468118,125,94415100.0,2.81,1428180.0,165,
2017-06-22,814535.066315,254,91088600.0,2.71,788086.0,265,
2017-06-23,677605.758388,224,92952100.0,2.77,878484.0,230,
2017-06-24,924240.882479,198,99992300.0,2.98,1043750.0,189,
2017-06-25,599362.473271,227,90871200.0,2.7,656243.0,192,
2017-06-26,716772.01773,257,81091800.0,2.41,997967.0,235,
2017-06-27,460535.716214,183,79383800.0,2.36,608510.0,160,
2017-06-28,441946.567277,254,83131800.0,2.47,1176160.0,235,
2017-06-29,9580517.2529,229,97532200.0,2.9,772157.0,206,
2017-06-30,460599.642177,177,88961900.0,2.65,585257.0,186,
2017-07-01,231591.148988,182,77473900.0,2.31,450321.0,162,
2017-07-02,490438.502197,182,74130500.0,2.21,388197.0,173,
