date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-08-11,12268588.0394,1489,47736200.0,0.113092,28319900.0,1054,
2017-08-12,3022424.74663,566,75747900.0,0.179455,14449400.0,433,
2017-08-13,17736311.4074,3682,60916300.0,0.144317,26199000.0,2548,
2017-08-14,23703969.8346,3384,115398000.0,0.181307,61300700.0,2132,
2017-08-15,24256955.751,1635,215024000.0,0.33015,33235400.0,1253,
2017-08-16,9839764.35736,1186,182458000.0,0.277113,20149800.0,933,
2017-08-17,37994474.0319,1588,199814000.0,0.300867,17016300.0,1341,
2017-08-18,10023043.5874,1349,186973000.0,0.280177,19448900.0,931,
2017-08-19,3647250.04595,836,153947000.0,0.229741,20150200.0,612,
2017-08-20,2055242.59806,507,151521000.0,0.22612,19136800.0,418,
2017-08-21,8660398.7831,677,144854000.0,0.216171,18912500.0,553,
2017-08-22,2179053.75086,568,118968000.0,0.176904,20542100.0,455,
2017-08-23,3200988.28207,715,124751000.0,0.185124,21797700.0,580,
2017-08-24,2687322.39909,589,136923000.0,0.202427,8670120.0,429,
2017-08-25,27030181.1267,3060,125500000.0,0.184535,9366220.0,2904,
2017-08-26,1217259.15219,401,122187000.0,0.179665,7509990.0,338,
2017-08-27,1947040.507,446,124478000.0,0.182897,11480300.0,377,
2017-08-28,6493036.23572,648,122790000.0,0.180416,11391400.0,520,
2017-08-29,1705183.31457,461,118226000.0,0.172808,9879820.0,415,
2017-08-30,116045127.112,1148,113353000.0,0.165639,16132100.0,1020,
2017-08-31,2992305.4629,520,95859000.0,0.139913,21798500.0,441,
2017-09-01,5341561.95334,508,117031000.0,0.170815,10602100.0,391,
2017-09-02,5159065.91415,658,100704000.0,0.146985,13028900.0,465,
2017-09-03,3849662.05558,754,86977600.0,0.12695,10973300.0,567,
2017-09-04,9386987.9219,2768,72260900.0,0.10547,15506700.0,2222,
2017-09-05,7255359.32691,3302,41955900.0,0.061238,7891520.0,2683,
2017-09-06,17768631.9741,6534,33566000.0,0.048992,2617590.0,5447,
2017-09-07,7460464.32139,4797,39812900.0,0.05811,890057.0,3962,
2017-09-08,15116748.7778,7197,31341000.0,0.045745,3627010.0,5635,
2017-09-09,8864837.12098,4543,33168700.0,0.048412,835800.0,4281,
2017-09-10,5596900.129,1868,31164500.0,0.045487,835852.0,1692,
2017-09-11,2224787.83528,1823,44624100.0,0.045212,847176.0,1621,
2017-09-12,1603652.03862,1372,44646900.0,0.045235,5085.0,1238,
2017-09-13,2020993.02188,1613,42910400.0,0.043476,560776.0,1491,
2017-09-14,2937613.00589,1266,38923100.0,0.039436,532320.0,1146,
2017-09-15,2095994.76273,1426,39003600.0,0.039517,405219.0,1422,
2017-09-16,1371245.28356,895,44590600.0,0.045178,142071.0,869,
2017-09-17,880049.370634,842,44817600.0,0.045408,135199.0,784,
2017-09-18,976695.787592,769,43948300.0,0.044527,175066.0,756,
2017-09-19,860791.637118,704,50117700.0,0.050778,84345.0,660,
2017-09-20,250057.314559,501,47439100.0,0.048064,43725.0,471,
2017-09-21,907760.303219,693,45299100.0,0.045896,128745.0,648,
2017-09-22,625114.87455,874,61278400.0,0.062086,174161.0,639,
2017-09-23,4139674.00319,1066,68647500.0,0.069552,144667.0,1024,
2017-09-24,827542.894766,998,72408800.0,0.073362,392543.0,838,
2017-09-25,1465703.06058,984,107844000.0,0.109264,209318.0,900,
2017-09-26,822582.939664,663,105489000.0,0.106878,100199.0,627,
2017-09-27,534468.241246,490,99097000.0,0.100402,142389.0,449,
2017-09-28,871670.354175,403,98720900.0,0.100021,146314.0,340,
2017-09-29,8813931.67783,603,102869000.0,0.104224,152087.0,582,
2017-09-30,911620.548135,774,108184000.0,0.109609,140640.0,663,
2017-10-01,546940.48129,294,105518000.0,0.106908,234758.0,229,
2017-10-02,469698.797609,264,108205000.0,0.10963,103832.0,250,
2017-10-03,459760.490901,219,101510000.0,0.102847,138255.0,212,
2017-10-04,383337.445933,203,100143000.0,0.101462,110372.0,201,
2017-10-05,432421.367883,195,97528000.0,0.098812,134367.0,182,
2017-10-06,356873.180588,198,94761900.0,0.09601,100707.0,188,
2017-10-07,369033.468512,236,93862400.0,0.095099,123146.0,187,
2017-10-08,385201.185121,233,88074700.0,0.089235,123010.0,199,
2017-10-09,342546.10265,150,78833700.0,0.079872,76588.0,170,
2017-10-10,627934.595564,297,79224700.0,0.080268,300982.0,218,
2017-10-11,254513.0317,222,65552900.0,0.066416,96426.0,216,
2017-10-12,376770.225664,247,76466600.0,0.077474,145498.0,240,
2017-10-13,451229.978199,282,81159100.0,0.082228,129340.0,275,
2017-10-14,933216.92647,421,81359200.0,0.082431,177569.0,372,
2017-10-15,576862.388306,322,96638600.0,0.097911,108221.0,340,
2017-10-16,585239.864259,290,96416000.0,0.097686,164060.0,253,
2017-10-17,1053536.54959,401,97897100.0,0.099186,248093.0,341,
2017-10-18,664348.437463,370,91991000.0,0.093203,180520.0,349,
2017-10-19,685887.630559,425,92136600.0,0.09335,142962.0,388,
2017-10-20,534613.989497,314,87290500.0,0.08844,147662.0,302,
2017-10-21,736868.365062,274,86359100.0,0.087497,58840.0,260,
2017-10-22,497361.599682,227,80393200.0,0.081452,67630.0,236,
2017-10-23,318421.471425,269,77545900.0,0.078567,101585.0,250,
2017-10-24,376625.053306,228,75384800.0,0.076378,163303.0,233,
2017-10-25,295381.111939,222,73677600.0,0.074648,151472.0,206,
2017-10-26,811276.429678,419,72439700.0,0.073394,114657.0,395,
2017-10-27,694130.89151,507,72159800.0,0.07311,393531.0,472,
2017-10-28,433314.639653,308,83659100.0,0.084761,161536.0,274,
2017-10-29,862826.763371,327,77578300.0,0.0786,259818.0,305,
2017-10-30,618421.254929,446,80352300.0,0.081411,342570.0,379,
2017-10-31,800100.192023,353,86746400.0,0.087889,292197.0,359,
2017-11-01,448619.985948,226,86515500.0,0.087655,279181.0,262,
2017-11-02,854014.812933,340,83288500.0,0.084386,551671.0,406,
2017-11-03,928183.917948,418,89574000.0,0.090754,804364.0,524,
2017-11-04,1867124.76139,1341,112722000.0,0.114207,627612.0,1395,
2017-11-05,1706687.23764,458,116314000.0,0.117846,489051.0,504,
2017-11-06,1478503.9622,389,108645000.0,0.110076,375120.0,420,
2017-11-07,1239158.45836,423,102463000.0,0.103812,562314.0,440,
2017-11-08,1282253.07298,419,115081000.0,0.116597,732200.0,470,
2017-11-09,1964500.38936,475,126829000.0,0.1285,557149.0,516,
2017-11-10,1387380.11251,422,125314000.0,0.126964,401483.0,421,
2017-11-11,1216179.22115,379,114511000.0,0.116019,650400.0,387,
2017-11-12,986413.953708,334,128760000.0,0.130456,570455.0,368,
2017-11-13,1502121.77648,486,117129000.0,0.118672,586754.0,479,
2017-11-14,1350396.15396,389,113110000.0,0.114599,637770.0,375,
2017-11-15,1017741.39058,432,109225000.0,0.110663,627420.0,390,
2017-11-16,1110529.10047,404,106904000.0,0.108313,677778.0,358,
2017-11-17,1442845.30884,398,111172000.0,0.112636,491313.0,377,
2017-11-18,435652.516437,253,106899000.0,0.108307,453563.0,292,
2017-11-19,522506.96755,241,114213000.0,0.115717,439347.0,288,
2017-11-20,483056.437669,284,113773000.0,0.115271,479031.0,342,
2017-11-21,504664.377078,296,114042000.0,0.115544,600951.0,339,
2017-11-22,576567.083654,274,107754000.0,0.109173,667485.0,355,
2017-11-23,742833.310667,330,116088000.0,0.117617,824948.0,436,
2017-11-24,788306.872295,363,112931000.0,0.114419,859158.0,430,
2017-11-25,1925776.55296,387,106472000.0,0.107875,538207.0,519,
2017-11-26,3933456.64223,992,105321000.0,0.106708,749140.0,1030,
2017-11-27,2051511.0336,837,103223000.0,0.104583,2102660.0,908,
2017-11-28,3721662.24626,866,126456000.0,0.128122,1252560.0,883,
2017-11-29,2722736.31428,798,126418000.0,0.128083,1524000.0,773,
2017-11-30,2588055.71306,486,109402000.0,0.110843,2036190.0,453,
2017-12-01,4484443.37736,418,106403000.0,0.107805,2021420.0,430,
2017-12-02,1229939.04238,468,114386000.0,0.115893,1912110.0,442,
2017-12-03,1490211.64846,528,112966000.0,0.114454,2515190.0,524,
2017-12-04,1353000.76552,416,118458000.0,0.120018,2762190.0,395,
2017-12-05,1279637.85799,271,121383000.0,0.122982,2660210.0,395,
2017-12-06,3177682.43479,994,122779000.0,0.124397,8304510.0,1528,
2017-12-07,8042746.69283,1403,192931000.0,0.195472,4717310.0,1844,
2017-12-08,8090379.36843,1560,163113000.0,0.165261,2722610.0,1912,
2017-12-09,8541608.70076,1774,172174000.0,0.174442,1424510.0,2049,
2017-12-10,5936567.88364,1108,161056000.0,0.163177,1265330.0,1376,
2017-12-11,9879956.83207,1662,153625000.0,0.155648,1094120.0,1929,
2017-12-12,5852438.07854,883,163765000.0,0.165922,2590350.0,978,
2017-12-13,3891752.31737,794,174228000.0,0.176523,2259650.0,865,
2017-12-14,6652856.68163,1376,172842000.0,0.175118,4609020.0,1417,
2017-12-15,8325291.36609,1045,217746000.0,0.220614,3434420.0,977,
2017-12-16,8103041.80518,1584,212892000.0,0.215697,4182410.0,1494,
2017-12-17,5229665.42658,993,240175000.0,0.243338,6284440.0,1140,
2017-12-18,19473610.3028,1479,278588000.0,0.282258,11652600.0,1594,
2017-12-19,14649439.4529,1592,391771000.0,0.396931,12780100.0,1661,
2017-12-20,24729384.4513,2420,381010000.0,0.386028,19471600.0,2251,
2017-12-21,23129282.3943,2260,449689000.0,0.455612,19370400.0,2189,
2017-12-22,11367566.8875,1075,414167000.0,0.419622,11857600.0,1006,
2017-12-23,16515969.6624,1613,332912000.0,0.337297,8250570.0,1528,
2017-12-24,10753464.2527,1049,351075000.0,0.355699,6493070.0,1007,
2017-12-25,16567231.8731,1199,327022000.0,0.33133,9554590.0,1088,
2017-12-26,15396768.7991,1422,379418000.0,0.384416,11689600.0,1300,
2017-12-27,21661559.5081,1553,411449000.0,0.416869,10264400.0,1416,
2017-12-28,8256579.48292,755,387922000.0,0.393032,13967700.0,660,
2017-12-29,6444722.5041,675,357008000.0,0.36171,12630800.0,577,
2017-12-30,3925699.91232,675,370073000.0,0.374947,13880600.0,568,
2017-12-31,4021138.74572,1046,321135000.0,0.325364,13214400.0,951,
2018-01-01,5386694.47751,575,352657000.0,0.357302,14426400.0,497,
2018-01-02,6521703.39723,847,362684000.0,0.367461,21608200.0,676,
2018-01-03,7924092.92487,764,375105000.0,0.380046,28385300.0,675,
2018-01-04,7113504.33361,872,424843000.0,0.430439,39705000.0,812,
2018-01-05,8423296.8292,1056,503485000.0,0.510117,52703000.0,1055,
2018-01-06,7922005.10211,910,513012000.0,0.519769,49606100.0,870,
2018-01-07,8267847.03197,948,575035000.0,0.582609,53089900.0,952,
2018-01-08,6729144.23756,1114,575429000.0,0.583008,38719900.0,956,
2018-01-09,12474565.4938,943,543097000.0,0.55025,36810400.0,878,
2018-01-10,4961178.44561,708,551787000.0,0.559055,40342000.0,682,
2018-01-11,8608034.04153,799,567654000.0,0.57513,53791100.0,797,
2018-01-12,8092499.88494,998,514280000.0,0.521054,45092300.0,941,
2018-01-13,9246749.391,758,613083000.0,0.621158,40008300.0,764,
2018-01-14,5526427.08141,726,670508000.0,0.67934,39919900.0,730,
2018-01-15,6217158.62222,769,578295000.0,0.585912,34862400.0,775,
2018-01-16,16591625.7925,1422,520366000.0,0.52722,42643200.0,1256,
2018-01-17,9019680.39183,1181,326095000.0,0.33039,41490200.0,997,
2018-01-18,8944541.9671,811,363245000.0,0.36803,38867000.0,784,
2018-01-19,4965480.44938,655,337010000.0,0.341448,30176000.0,654,
2018-01-20,3214461.44473,621,369254000.0,0.374118,23459400.0,566,
2018-01-21,8198038.33175,572,434491000.0,0.440214,17124800.0,555,
2018-01-22,3754166.98936,616,356566000.0,0.361262,22923800.0,606,
2018-01-23,3557172.18466,425,343781000.0,0.348309,21135300.0,416,
2018-01-24,3317091.17714,1218,349498000.0,0.354101,31788400.0,1176,
2018-01-25,4476650.02361,578,391907000.0,0.397069,32813200.0,511,
2018-01-26,3764442.53745,598,436942000.0,0.442697,32301600.0,566,
2018-01-27,3190294.58558,477,440217000.0,0.446015,22111100.0,457,
2018-01-28,2785589.55117,490,432382000.0,0.438077,26914000.0,457,
2018-01-29,3831249.34977,535,420314000.0,0.42585,21266700.0,534,
2018-01-30,2963111.15392,474,409719000.0,0.415115,17302100.0,444,
2018-01-31,8305511.81206,551,368184000.0,0.373034,22362000.0,466,
2018-02-01,5949787.80054,520,379696000.0,0.384697,21235600.0,501,
2018-02-02,6632958.26091,678,345931000.0,0.350487,16831000.0,558,
2018-02-03,4917860.38211,385,327249000.0,0.331559,14233100.0,343,
2018-02-04,4519696.16003,486,350154000.0,0.354766,14943800.0,434,
2018-02-05,2916478.32622,620,300806000.0,0.304768,13813500.0,529,
2018-02-06,5693728.33426,823,246944000.0,0.250196,16925100.0,693,
2018-02-07,2850603.12077,644,288157000.0,0.291953,15598700.0,581,
2018-02-08,1534448.37346,447,269959000.0,0.273515,13066600.0,384,
2018-02-09,2011432.31982,644,289973000.0,0.293792,17166800.0,548,
2018-02-10,2060042.9602,455,346511000.0,0.351075,14932000.0,434,
2018-02-11,1831078.99051,411,349263000.0,0.353863,11753200.0,388,
2018-02-12,1101797.25048,307,350380000.0,0.354994,11965000.0,313,
2018-02-13,1578378.09198,278,362454000.0,0.367228,10308400.0,268,
2018-02-14,1120389.95007,241,351222000.0,0.355848,12739500.0,222,
2018-02-15,832295.9019,236,384397000.0,0.38946,12725400.0,230,
2018-02-16,491845.964266,154,378834000.0,0.383823,14772900.0,145,
2018-02-17,597939.135627,154,383619000.0,0.388672,10572900.0,175,
2018-02-18,528430.242551,152,397286000.0,0.402519,16465300.0,158,
2018-02-19,853230.994825,154,363486000.0,0.368273,10634400.0,175,
2018-02-20,869829.512654,215,378227000.0,0.383209,9664300.0,260,
2018-02-21,1539261.79327,211,358952000.0,0.36368,11532700.0,245,
